08/16/2023 01:26:59 AM - server - INFO - Received a request
08/16/2023 01:26:59 AM - server - ERROR - No file part
08/16/2023 01:31:11 AM - server - INFO - Received a request
08/16/2023 01:31:11 AM - server - INFO - Received a request
08/16/2023 01:33:57 AM - server - INFO - Received a request
08/16/2023 01:34:19 AM - server - INFO - Received a request
08/16/2023 01:34:19 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 01:35:13 AM - server - INFO - Received a request
08/16/2023 01:35:13 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 01:35:13 AM - server - ERROR - Failed to parse file childhood.mid
08/16/2023 01:48:24 AM - server - INFO - Received a request
08/16/2023 01:48:24 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 01:48:24 AM - server - ERROR - Failed to parse file childhood.mid
08/16/2023 01:48:48 AM - server - INFO - Received a request
08/16/2023 01:48:48 AM - server - INFO - C:/Users/ppsha/Documents/Projects/Developer/Tune-Ease/app
08/16/2023 01:48:48 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 01:48:48 AM - server - ERROR - Failed to parse file childhood.mid
08/16/2023 01:50:38 AM - server - INFO - Received a request
08/16/2023 01:50:38 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 01:50:38 AM - server - ERROR - Failed to parse file childhood.mid
08/16/2023 02:01:07 AM - server - INFO - Received a request
08/16/2023 02:01:07 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 02:01:07 AM - server - ERROR - Failed to convert score to PNG. Error message: [Errno 2] No such file or directory: 'C:\\Users\\ppsha\\Documents\\Projects\\Developer\\Tune-Ease\\temp\\childhood.mid'
08/16/2023 02:02:47 AM - server - INFO - Received a request
08/16/2023 02:02:47 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 02:02:47 AM - server - ERROR - Failed to convert score to PNG. Error message: [Errno 2] No such file or directory: 'C:\\Users\\ppsha\\Documents\\Projects\\Developer\\Tune-Ease\\temp\\childhood.mid'
08/16/2023 02:03:57 AM - server - INFO - Received a request
08/16/2023 02:03:57 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 02:03:57 AM - server - ERROR - Failed to convert score to PNG. Error message: [Errno 2] No such file or directory: 'C:\\Users\\ppsha\\Documents\\Projects\\Developer\\Tune-Ease\\temp\\childhood.mid'
08/16/2023 02:04:12 AM - server - INFO - Received a request
08/16/2023 02:04:12 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 02:04:17 AM - server - ERROR - Failed to convert score to PNG. Error message: [WinError 2] The system cannot find the file specified: 'C:\\Users\\ppsha\\Documents\\Projects\\Developer\\Tune-Ease\\app\\childhood.musicxml'
08/16/2023 02:05:20 AM - server - INFO - Received a request
08/16/2023 02:05:20 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 02:06:35 AM - server - INFO - Received a request
08/16/2023 02:06:35 AM - server - INFO - Received a request
08/16/2023 02:06:35 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 02:06:35 AM - server - INFO - C:\Program Files\MuseScore 4\bin\MuseScore4.exe
08/16/2023 02:06:35 AM - server - ERROR - Failed to convert score to PNG. Error message: cannot find a format extensions for: C:\Users\ppsha\Documents\Projects\Developer\Tune-Ease\temp\Cold and Dark Danger.mscz
08/16/2023 02:06:35 AM - server - ERROR - Failed to convert score to PNG. Error message: cannot find a format extensions for: C:\Users\ppsha\Documents\Projects\Developer\Tune-Ease\temp\Cold and Dark Danger.mscz
08/16/2023 02:13:15 AM - server - INFO - Received a request
08/16/2023 07:03:34 PM - server - INFO - Received a request /mnt/c/Users/ppsha/Documents/Projects/Developer/Tune-Ease/frontend/build/favicon.ico
08/16/2023 07:03:34 PM - server - INFO - Received a request /mnt/c/Users/ppsha/Documents/Projects/Developer/Tune-Ease/frontend/build/logo192.png
08/16/2023 07:03:34 PM - server - INFO - Received a request /mnt/c/Users/ppsha/Documents/Projects/Developer/Tune-Ease/frontend/build/favicon.ico
08/16/2023 07:03:34 PM - server - INFO - Received a request /mnt/c/Users/ppsha/Documents/Projects/Developer/Tune-Ease/frontend/build/logo192.png
08/16/2023 07:33:44 PM - server - INFO - Received a request /mnt/c/Users/ppsha/Documents/Projects/Developer/Tune-Ease/frontend/build/favicon.ico
08/16/2023 07:36:52 PM - server - INFO - Received a request /mnt/c/Users/ppsha/Documents/Projects/Developer/Tune-Ease/frontend/build/favicon.ico
08/16/2023 08:09:00 PM - server - INFO - Received a request C:/Users/ppsha/Documents/Projects/Developer/Tune-Ease/frontend/build/favicon.ico
08/22/2023 12:50:13 AM - server - INFO - Received a /random request
08/22/2023 12:50:19 AM - server - INFO - Received a /random request
08/22/2023 12:50:19 AM - server - INFO - Received a /random request
08/22/2023 12:50:20 AM - server - INFO - Received a /random request
08/22/2023 12:50:20 AM - server - INFO - Received a /random request
08/22/2023 12:50:20 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:21 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
08/22/2023 12:50:22 AM - server - INFO - Received a /random request
